row_id,request_key,case_id,phase,action_type,status,syntax,defects,declared_outcome,reason,themes,identical_decoded_pixels,token_count,limit_hit,ended_with_eos,raw_response,source_path,source_sha256
agent_s2_base,df2f9da4a02a1702504c744bc65a8a18bbada32c1facca2cb714bf20c707883a,gold_v16_40k_007563__step_0000,interaction_assessment,CLICK,parse_error,json,invalid_failure_label,FAILURE,The action does not provide clear evidence of progress towards finding project details.,,False,37,False,True,"{""outcome_label"": ""FAILURE"", ""reason"": ""The action does not provide clear evidence of progress towards finding project details."", ""failure_type_4"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/agent_s2_base/df2f9da4a02a1702504c744bc65a8a18bbada32c1facca2cb714bf20c707883a.json,bd1d6dd7bd500512d0cc66fb3aa98f37f9e0bc1052b4bd6c9702d0d8b7043a59
webvoyager_base,c07c379fb3add160286dc8d10f030e00c0b45aa8854630c3921a6f79ac2c9213,gold_v16_40k_003695__step_0000,interaction_assessment,CLICK,parse_error,json,missing:failure_type_4,ABSTAIN,"The screenshot shows a webpage with navigation options, but the specific action taken (click) is not detailed enough to determine its success or failure. No clear target or result can be assessed from the provided information.",,True,56,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""The screenshot shows a webpage with navigation options, but the specific action taken (click) is not detailed enough to determine its success or failure. No clear target or result can be assessed from the provided information.""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/webvoyager_base/c07c379fb3add160286dc8d10f030e00c0b45aa8854630c3921a6f79ac2c9213.json,ac4936a4d3cf1ebe21f780dd296d02dab13700755b182ac7bbf999f078d73f66
webvoyager_base,55429eefa8a38d082c2f8fa23b18e97f82d5623003665b120f12e8d38efcf725,gold_v16_40k_008947__step_0000,interaction_assessment,SELECT,parse_error,json,missing:failure_type_4,ABSTAIN,The executed action type 'SELECT' with a null value does not provide sufficient information to determine the outcome or assess the interaction with the webpage.,,False,43,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""The executed action type 'SELECT' with a null value does not provide sufficient information to determine the outcome or assess the interaction with the webpage.""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/webvoyager_base/55429eefa8a38d082c2f8fa23b18e97f82d5623003665b120f12e8d38efcf725.json,8cdf3ef690c0e38f3cbe5a472bf6fa2da45de7e67fd34ea8322a58866e30d37e
webvoyager_base,22943dcc1acce876c3c547063e2fb189ec992a51f6d5e15e10b9d48e0ab23246,gold_v16_40k_022719__step_0000,interaction_assessment,CLICK,parse_error,json,missing:failure_type_4,ABSTAIN,"The screenshot shows the Harvard Business Review website, but the specific action taken (click) is not detailed enough to determine its success or failure. No clear target or result is visible from the action.",,False,54,False,True,"{""outcome_label"": ""ABSTAIN"", ""reason"": ""The screenshot shows the Harvard Business Review website, but the specific action taken (click) is not detailed enough to determine its success or failure. No clear target or result is visible from the action.""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/webvoyager_base/22943dcc1acce876c3c547063e2fb189ec992a51f6d5e15e10b9d48e0ab23246.json,79c01ee1c0f1c5389cc5ab20ec01ebf266c72982ecfebbc963197f156e512831
browser_use_trained,4d83645acb43fed213df4476d532101ff0a3cb101011aa4349a04b02feb0d7dc,gold_v16_40k_000063__step_0000,interaction_assessment,CLICK,parse_error,json,missing:failure_type_4|missing:reason,ABSTAIN,,,False,10,False,True,"{""outcome_label"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_trained/4d83645acb43fed213df4476d532101ff0a3cb101011aa4349a04b02feb0d7dc.json,df62e483c0bb44839f05ad0820c55448e80f49614cbe748f940f116b1173f9c1
browser_use_trained,4b83595ac593f776e2cd9c88dbb232024e81abce622be160e7250f83a7c4760e,gold_v16_40k_000410__step_0001,interaction_assessment,SCROLL,parse_error,json,missing:failure_type_4|missing:reason,ABSTAIN,,,False,10,False,True,"{""outcome_label"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_trained/4b83595ac593f776e2cd9c88dbb232024e81abce622be160e7250f83a7c4760e.json,ea7fbd7f16ab70c9b43ee4c8a6aa2ff88cc923c82fc4d2b67a13eba675a16aeb
browser_use_trained,9e8db1343e7530e9670b8a1f44319e073a11c63608d319e3f07f886218b84932,gold_v16_40k_000518__step_0000,interaction_assessment,TYPE,parse_error,json,missing:failure_type_4|missing:reason,ABSTAIN,,,False,10,False,True,"{""outcome_label"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_trained/9e8db1343e7530e9670b8a1f44319e073a11c63608d319e3f07f886218b84932.json,25c7434dffbca0076a70ad9ba714db85b4a850a4bf2d765bb8e20f54ecfc4eb2
browser_use_trained,850346bf56351e31d66d6f3d19b17f86a30b384c246ee7667c61e463ebb27485,gold_v16_40k_001278__step_0000,interaction_assessment,SCROLL,parse_error,json,missing:failure_type_4|missing:reason,ABSTAIN,,,False,10,False,True,"{""outcome_label"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_trained/850346bf56351e31d66d6f3d19b17f86a30b384c246ee7667c61e463ebb27485.json,9e9100ebbf7a7c6a7a24d722c536808c21eea7b34b37e621f722ef5eefb74845
browser_use_trained,7975c30e5db224f401db2065bc7037c1a85591f0bc2f7a82d5e537a29901283e,gold_v16_40k_001283__step_0000,interaction_assessment,PRESS_KEY,parse_error,json,missing:failure_type_4|missing:reason,ABSTAIN,,,True,10,False,True,"{""outcome_label"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_trained/7975c30e5db224f401db2065bc7037c1a85591f0bc2f7a82d5e537a29901283e.json,050c4148c82f878cf05e0d14051b8aeabf9726986d560786aefff0b7b4cd1e33
browser_use_trained,f397b86be667c496ab38e3d81d79a92d3a14e5a31690a7ecedf9dddcbdc7b9b5,gold_v16_40k_001470__step_0001,interaction_assessment,NAVIGATE,parse_error,json,missing:failure_type_4|missing:reason,ABSTAIN,,,True,10,False,True,"{""outcome_label"": ""ABSTAIN""}",.task1-assets/runs/task1-internvl-dual-v2/pilot-reviewed-20260916/browser_use_trained/f397b86be667c496ab38e3d81d79a92d3a14e5a31690a7ecedf9dddcbdc7b9b5.json,6e9ba46723f8125091416727f7cd6c8131790992e9a5e221d1a649b78a50be6c
