request_key,case_id,phase,action_type,value_missing,target_supplied,history_supplied,task_description,before_image,after_image,before_size,after_size,identical_decoded_pixels
4d83645acb43fed213df4476d532101ff0a3cb101011aa4349a04b02feb0d7dc,gold_v16_40k_000063__step_0000,interaction_assessment,CLICK,True,False,False,Look for the requested site information for the current task.,images/gold_v16_40k_000063/before_0001.png,images/gold_v16_40k_000063/after_0001.png,"(1280, 720)","(1280, 720)",False
bb7d5bd2a2479cb21436cec53e2344c213eead6ce0b61dc05f419a3a129fa049,gold_v16_40k_000063__step_0000,recovery_assessment,NAVIGATE,True,False,False,Look for the requested site information for the current task.,images/gold_v16_40k_000063/after_0001.png,images/gold_v16_40k_000063/after_0002.png,"(1280, 720)","(1280, 720)",False
f3f99de000dec90f1c5bdc35968e4463733deae9adfb9165b5ace9886d86bef8,gold_v16_40k_000068__step_0000,interaction_assessment,TYPE,True,False,False,Look for the requested page value for the current task.,images/gold_v16_40k_000068/before_0001.png,images/gold_v16_40k_000068/after_0001.png,"(1280, 720)","(1280, 720)",False
6c042c159c70ad54edf129b2f6af3deb2a83395dadcb7fcdef12343ecfa1cd63,gold_v16_40k_000068__step_0000,recovery_assessment,TYPE,True,False,False,Look for the requested page value for the current task.,images/gold_v16_40k_000068/after_0001.png,images/gold_v16_40k_000068/after_0002.png,"(1280, 720)","(1280, 720)",False
7411e9fe1687c3231ace9a445122d8e17dfb222a9ac4c4475df580e5c763e8cd,gold_v16_40k_000095__step_0001,interaction_assessment,CLICK,True,False,False,Locate the relevant page content for the current task.,images/gold_v16_40k_000095/before_0002.png,images/gold_v16_40k_000095/after_0002.png,"(1280, 720)","(1280, 720)",True
a6c861ad52801b2efac7dea58f33d144e7fe3a0335c56b46b8c904d12564d3b0,gold_v16_40k_000095__step_0001,recovery_assessment,CLICK,True,False,False,Locate the relevant page content for the current task.,images/gold_v16_40k_000095/after_0002.png,images/gold_v16_40k_000095/after_0003.png,"(1280, 720)","(1280, 720)",True
73b6c9c4dc768c7f08c5d6978ecb70e23421a90d04a7e914865e1c696020bc13,gold_v16_40k_000110__step_0001,interaction_assessment,SCROLL,True,False,False,Locate the relevant page content for the current task.,images/gold_v16_40k_000110/before_0002.png,images/gold_v16_40k_000110/after_0002.png,"(1280, 720)","(1280, 720)",False
d78198d52152736e099e3bec8940d67a9344759cecabfd35e4e35108611696ec,gold_v16_40k_000110__step_0001,recovery_assessment,SCROLL,True,False,False,Locate the relevant page content for the current task.,images/gold_v16_40k_000110/after_0002.png,images/gold_v16_40k_000110/after_0003.png,"(1280, 720)","(1280, 720)",False
149020b577769171ccb9904b6e7b730d31b2601d917a6ccded20c71b20dd5fdc,gold_v16_40k_000120__step_0002,interaction_assessment,NAVIGATE,True,False,False,Locate the relevant page content for the current task.,images/gold_v16_40k_000120/before_0003.png,images/gold_v16_40k_000120/after_0003.png,"(1280, 720)","(1280, 720)",True
5cd2c064a7581cdff44afe1553602c50bb5f8dda5d7c8042f14ae76c5d662aba,gold_v16_40k_000233__step_0000,interaction_assessment,PRESS_KEY,True,False,False,Locate the target page state for the current task.,images/gold_v16_40k_000233/before_0001.png,images/gold_v16_40k_000233/after_0001.png,"(1280, 720)","(1280, 720)",True
d8c351f757dac126dbef3b9251b65a74ba2dc0c701abfdb5c6878db1a1288edb,gold_v16_40k_000233__step_0000,recovery_assessment,PRESS_KEY,True,False,False,Locate the target page state for the current task.,images/gold_v16_40k_000233/after_0001.png,images/gold_v16_40k_000233/after_0002.png,"(1280, 720)","(1280, 720)",False
ca29e57f7c2e7ee9164252fa19900cfd70429f45869cc9622ff44d413cd5bb11,gold_v16_40k_000238__step_0000,interaction_assessment,NAVIGATE,True,False,False,Locate the target web resource for the current task.,images/gold_v16_40k_000238/before_0001.png,images/gold_v16_40k_000238/after_0001.png,"(1280, 720)","(1280, 720)",False
f492b6ae343a8a01aba10c544650dd8e03a58ffc6018b9ea9b9d022476f098cf,gold_v16_40k_000238__step_0000,recovery_assessment,NAVIGATE,True,False,False,Locate the target web resource for the current task.,images/gold_v16_40k_000238/after_0001.png,images/gold_v16_40k_000238/after_0002.png,"(1280, 720)","(1280, 720)",False
2c2d2f70e8a918b6417c20e7928fddd3cbd418c6d69efb21a0708a3db9758df0,gold_v16_40k_000250__step_0002,interaction_assessment,TYPE,True,False,False,Look for the target page state for the current task.,images/gold_v16_40k_000250/before_0003.png,images/gold_v16_40k_000250/after_0003.png,"(1280, 720)","(1280, 720)",True
c35d5bf0358dddfdfc02b13ee879da453f8e9d9a80eee8853b3c812ebecbe924,gold_v16_40k_000265__step_0002,interaction_assessment,PRESS_KEY,True,False,False,Look for the target page state for the current task.,images/gold_v16_40k_000265/before_0003.png,images/gold_v16_40k_000265/after_0003.png,"(1280, 720)","(1280, 720)",False
01b0e44a6da9234367de9cb39ad6509cfa140d4319f285696632fc509a0d691e,gold_v16_40k_000378__step_0000,interaction_assessment,SCROLL,True,False,False,Look for the needed reference material for the current task.,images/gold_v16_40k_000378/before_0001.png,images/gold_v16_40k_000378/after_0001.png,"(1280, 720)","(1280, 720)",False
2d0a13589d649fd060f17202a57eda9237937ea4e92518220dab48bd49c6b8ca,gold_v16_40k_000378__step_0000,recovery_assessment,SCROLL,True,False,False,Look for the needed reference material for the current task.,images/gold_v16_40k_000378/after_0001.png,images/gold_v16_40k_000378/after_0002.png,"(1280, 720)","(1280, 720)",False
678eb91b1ad9fd23dc4df338c0e8e4fd15963c856fc555f0ea78ff0a45b4216b,gold_v16_40k_000405__step_0000,interaction_assessment,SELECT,True,False,False,Locate the needed page setting for the current task.,images/gold_v16_40k_000405/before_0001.png,images/gold_v16_40k_000405/after_0001.png,"(1280, 720)","(1280, 720)",False
e8e51f6b0952727ab613f3959dde4a9a0c03d1bad54e58c3d545a21f98c5fc79,gold_v16_40k_000405__step_0000,recovery_assessment,SELECT,True,False,False,Locate the needed page setting for the current task.,images/gold_v16_40k_000405/after_0001.png,images/gold_v16_40k_000405/after_0002.png,"(1280, 720)","(1280, 720)",True
4b83595ac593f776e2cd9c88dbb232024e81abce622be160e7250f83a7c4760e,gold_v16_40k_000410__step_0001,interaction_assessment,SCROLL,True,False,False,Locate the requested page section for the current task.,images/gold_v16_40k_000410/before_0002.png,images/gold_v16_40k_000410/after_0002.png,"(1280, 720)","(1280, 720)",False
d7c142b73e267b5a71d38813130839815d2b52b5b0143caaf6f85795634effc8,gold_v16_40k_000410__step_0001,recovery_assessment,SCROLL,True,False,False,Locate the requested page section for the current task.,images/gold_v16_40k_000410/after_0002.png,images/gold_v16_40k_000410/after_0003.png,"(1280, 720)","(1280, 720)",False
fb6a485c8b325abdadc674658192b95e166f959a03d094013d69cc03e9c4a138,gold_v16_40k_000479__step_0001,interaction_assessment,NAVIGATE,True,False,False,Look for the requested page section for the current task.,images/gold_v16_40k_000479/before_0002.png,images/gold_v16_40k_000479/after_0002.png,"(1280, 720)","(1280, 720)",True
9e8db1343e7530e9670b8a1f44319e073a11c63608d319e3f07f886218b84932,gold_v16_40k_000518__step_0000,interaction_assessment,TYPE,True,False,False,Locate the target form state for the current task.,images/gold_v16_40k_000518/before_0001.png,images/gold_v16_40k_000518/after_0001.png,"(1280, 720)","(1280, 720)",False
9baccd659a2e2d20fc5fae3a62cbe170c56eee048bcd3a4da3390630bc84faff,gold_v16_40k_000518__step_0000,recovery_assessment,TYPE,True,False,False,Locate the target form state for the current task.,images/gold_v16_40k_000518/after_0001.png,images/gold_v16_40k_000518/after_0002.png,"(1280, 720)","(1280, 720)",False
5109a36c6046bac0aa170c3623ed33b5af95cf967ad8661d106818a4aaa3b8ea,gold_v16_40k_000538__step_0000,interaction_assessment,NAVIGATE,True,False,False,Locate the relevant project details for the current task.,images/gold_v16_40k_000538/before_0001.png,images/gold_v16_40k_000538/after_0001.png,"(1280, 720)","(1280, 720)",False
524e12679d31b1173539cabe38ad29a37c9b781dad427d40d2e64ffe7e32f12a,gold_v16_40k_000538__step_0000,recovery_assessment,NAVIGATE,True,False,False,Locate the relevant project details for the current task.,images/gold_v16_40k_000538/after_0001.png,images/gold_v16_40k_000538/after_0002.png,"(1280, 720)","(1280, 720)",False
3dd714ddb89cb8a0ad87d7e9a5e93819f588c2125a34a65ca2d83478d3466e06,gold_v16_40k_000566__step_0000,interaction_assessment,NAVIGATE,True,False,False,Look for the needed reference material for the current task.,images/gold_v16_40k_000566/before_0001.png,images/gold_v16_40k_000566/after_0001.png,"(1280, 720)","(1280, 720)",False
47a214593f46d58eb73c7662d19ce911442767be4551d6133c8e36e7a06eafa3,gold_v16_40k_000813__step_0000,interaction_assessment,CLICK,True,False,False,Locate the requested reference content for the current task.,images/gold_v16_40k_000813/before_0001.png,images/gold_v16_40k_000813/after_0001.png,"(1280, 720)","(1280, 720)",False
0ccfd3840b6462041fc9bd89f4d6e90cd87358851a3d562128b35879090dfe90,gold_v16_40k_000813__step_0000,recovery_assessment,NAVIGATE,True,False,False,Locate the requested reference content for the current task.,images/gold_v16_40k_000813/after_0001.png,images/gold_v16_40k_000813/after_0002.png,"(1280, 720)","(1280, 720)",False
7f83a9bec5e43c4b2d801714d768db90fdc8e3153775b78de4c4e473f28ab83e,gold_v16_40k_000909__step_0001,interaction_assessment,TYPE,True,False,False,Locate the requested interaction state for the current task.,images/gold_v16_40k_000909/before_0002.png,images/gold_v16_40k_000909/after_0002.png,"(1280, 720)","(1280, 720)",True
fb67559b90eee9151455e533ec788f40fd1cee458bf4fb4b82522aba982bb9ba,gold_v16_40k_000963__step_0000,interaction_assessment,CLICK,True,False,False,Look for the relevant information page for the current task.,images/gold_v16_40k_000963/before_0001.png,images/gold_v16_40k_000963/after_0001.png,"(1280, 720)","(1280, 720)",False
d67591e63edfbe44e1a8afc0be01dd4289164ba1e26a11995067d3277085a62d,gold_v16_40k_000963__step_0000,recovery_assessment,NAVIGATE,True,False,False,Look for the relevant information page for the current task.,images/gold_v16_40k_000963/after_0001.png,images/gold_v16_40k_000963/after_0002.png,"(1280, 720)","(1280, 720)",False
582761458525dfd52c9e2bf16de3ebe0028c58c5622f156aba65e20008c4fb65,gold_v16_40k_001000__step_0000,interaction_assessment,TYPE,True,False,False,Locate the requested page value for the requested result.,images/gold_v16_40k_001000/before_0001.png,images/gold_v16_40k_001000/after_0001.png,"(1280, 720)","(1280, 720)",False
8a070d7e9ddff28c531244ab4a706e96d3db1e4c21371d2769bf1a332f4ba8c2,gold_v16_40k_001000__step_0000,recovery_assessment,TYPE,True,False,False,Locate the requested page value for the requested result.,images/gold_v16_40k_001000/after_0001.png,images/gold_v16_40k_001000/after_0002.png,"(1280, 720)","(1280, 720)",True
f8f5fe3d78d9e59daff3356527e659263673e200487d959dc8799b897a36c93e,gold_v16_40k_001059__step_0000,interaction_assessment,TYPE,True,False,False,Look for the requested page value for the requested result.,images/gold_v16_40k_001059/before_0001.png,images/gold_v16_40k_001059/after_0001.png,"(1280, 720)","(1280, 720)",False
8e86fb594e4db427cf852d0f3b4fa738ee73b12fd40897c1477850bad6eb30b6,gold_v16_40k_001059__step_0000,recovery_assessment,TYPE,True,False,False,Look for the requested page value for the requested result.,images/gold_v16_40k_001059/after_0001.png,images/gold_v16_40k_001059/after_0002.png,"(1280, 720)","(1280, 720)",False
1d8d49de64bc919d40cb58dd1f3a6278195558f60165a09b56ff2bf6cb2efea5,gold_v16_40k_001128__step_0001,interaction_assessment,SCROLL,True,False,False,Locate the relevant page content for the requested result.,images/gold_v16_40k_001128/before_0002.png,images/gold_v16_40k_001128/after_0002.png,"(1280, 720)","(1280, 720)",False
92e3691c43bae6562de3f92d7d07686d0d885ed1da7ba217c3c93ac1d3eb11ac,gold_v16_40k_001145__step_0000,interaction_assessment,CLICK,True,False,False,Look for the relevant page content for the requested result.,images/gold_v16_40k_001145/before_0001.png,images/gold_v16_40k_001145/after_0001.png,"(1280, 720)","(1280, 720)",False
78385e91cc6d6fa8007318fe0e863a01155936d9e248f4ccd3c5eeb875d21d04,gold_v16_40k_001145__step_0000,recovery_assessment,CLICK,True,False,False,Look for the relevant page content for the requested result.,images/gold_v16_40k_001145/after_0001.png,images/gold_v16_40k_001145/after_0002.png,"(1280, 720)","(1280, 720)",False
6dce7ee53e9a1f728805fbb7abaf34d3012d03b16434512c55f9d0e87f7acab1,gold_v16_40k_001145__step_0002,interaction_assessment,CLICK,True,False,False,Look for the relevant page content for the requested result.,images/gold_v16_40k_001145/before_0003.png,images/gold_v16_40k_001145/after_0003.png,"(1280, 720)","(1280, 720)",False
a8f94cf68440a9868ed8cbcb4965d36bad9d0b4d369ed352dca080b3348e4c08,gold_v16_40k_001155__step_0002,interaction_assessment,SELECT,True,False,False,Look for the required page preference for the requested result.,images/gold_v16_40k_001155/before_0003.png,images/gold_v16_40k_001155/after_0003.png,"(1280, 720)","(1280, 720)",False
850346bf56351e31d66d6f3d19b17f86a30b384c246ee7667c61e463ebb27485,gold_v16_40k_001278__step_0000,interaction_assessment,SCROLL,True,False,False,Look for the target web resource for the requested result.,images/gold_v16_40k_001278/before_0001.png,images/gold_v16_40k_001278/after_0001.png,"(1280, 720)","(1280, 720)",False
e9e6c7bc41db2bc8ea2e80ffea09332efd6844a22d397ae9d0aff6aa2cc39dac,gold_v16_40k_001278__step_0000,recovery_assessment,SCROLL,True,False,False,Look for the target web resource for the requested result.,images/gold_v16_40k_001278/after_0001.png,images/gold_v16_40k_001278/after_0002.png,"(1280, 720)","(1280, 720)",False
7975c30e5db224f401db2065bc7037c1a85591f0bc2f7a82d5e537a29901283e,gold_v16_40k_001283__step_0000,interaction_assessment,PRESS_KEY,True,False,False,Look for the target page state for the requested result.,images/gold_v16_40k_001283/before_0001.png,images/gold_v16_40k_001283/after_0001.png,"(1280, 720)","(1280, 720)",True
3ef72fbc532135482da6bb7b366b322e11d868251c5b68ebfb279b7b3bfdc17f,gold_v16_40k_001283__step_0000,recovery_assessment,PRESS_KEY,True,False,False,Look for the target page state for the requested result.,images/gold_v16_40k_001283/after_0001.png,images/gold_v16_40k_001283/after_0002.png,"(1280, 720)","(1280, 720)",False
f495b8c5cf8f17484d449002fc60751b6cdc7f9a8144d2356ad41baa5633d2ec,gold_v16_40k_001305__step_0001,interaction_assessment,SELECT,True,False,False,Locate the requested lookup value for the requested result.,images/gold_v16_40k_001305/before_0002.png,images/gold_v16_40k_001305/after_0002.png,"(1280, 720)","(1280, 720)",True
12cd40d4adf28484ef2bcde1079277fe4e6345fb2e79d73958c2981216769479,gold_v16_40k_001305__step_0001,recovery_assessment,SELECT,True,False,False,Locate the requested lookup value for the requested result.,images/gold_v16_40k_001305/after_0002.png,images/gold_v16_40k_001305/after_0003.png,"(1280, 720)","(1280, 720)",True
f397b86be667c496ab38e3d81d79a92d3a14e5a31690a7ecedf9dddcbdc7b9b5,gold_v16_40k_001470__step_0001,interaction_assessment,NAVIGATE,True,False,False,Look for the requested page section for the requested result.,images/gold_v16_40k_001470/before_0002.png,images/gold_v16_40k_001470/after_0002.png,"(1280, 720)","(1280, 720)",True
3cf6b9ca41d6b05400f958a5cae42865f49014f98b7209180b8ca400e096db79,gold_v16_40k_001470__step_0001,recovery_assessment,NAVIGATE,True,False,False,Look for the requested page section for the requested result.,images/gold_v16_40k_001470/after_0002.png,images/gold_v16_40k_001470/after_0003.png,"(1280, 720)","(1280, 720)",True
dc809c3175c4ecd7a93f58113da508722dabee17a0cee4d239790e9dd79ac1dc,gold_v16_40k_001568__step_0000,interaction_assessment,TYPE,True,False,False,Look for the target form state for the requested result.,images/gold_v16_40k_001568/before_0001.png,images/gold_v16_40k_001568/after_0001.png,"(1280, 720)","(1280, 720)",False
63cd971ef1fce211f13849d3ef328d3903b61433fc39657fce4ab1be0d1e8932,gold_v16_40k_001568__step_0000,recovery_assessment,TYPE,True,False,False,Look for the target form state for the requested result.,images/gold_v16_40k_001568/after_0001.png,images/gold_v16_40k_001568/after_0002.png,"(1280, 720)","(1280, 720)",False
49f5bb7911baa6575296cb51ae0c414136b15150a0ef3d3bd268f8fc8328440a,gold_v16_40k_001620__step_0002,interaction_assessment,NAVIGATE,True,False,False,Locate the target information area for the requested result.,images/gold_v16_40k_001620/before_0003.png,images/gold_v16_40k_001620/after_0003.png,"(1280, 720)","(1280, 720)",False
cc746ff3a969c36b8c90433009ecc6a8c2be6de09df40e74155a8e8e10ce2aeb,gold_v16_40k_001674__step_0000,interaction_assessment,PRESS_KEY,True,False,False,Look for the requested search state for the requested result.,images/gold_v16_40k_001674/before_0001.png,images/gold_v16_40k_001674/after_0001.png,"(1280, 720)","(1280, 720)",False
023f36238392906c4cd446ed4ae2d5aaceab07cf2637051fb85988f2262741fd,gold_v16_40k_001674__step_0000,recovery_assessment,PRESS_KEY,True,False,False,Look for the requested search state for the requested result.,images/gold_v16_40k_001674/after_0001.png,images/gold_v16_40k_001674/after_0002.png,"(1280, 720)","(1280, 720)",False
1b93a2bc97390c5251e09e2329e287e63966aaa2cf234470f501d2bfe0222c01,gold_v16_40k_001738__step_0000,interaction_assessment,NAVIGATE,True,False,False,Locate the needed site resource for the requested result.,images/gold_v16_40k_001738/before_0001.png,images/gold_v16_40k_001738/after_0001.png,"(1280, 720)","(1280, 720)",False
094c784d8692de96ce021a9502c544e8ae9ebbb7fea89873830b6958ba101b5a,gold_v16_40k_001738__step_0000,recovery_assessment,NAVIGATE,True,False,False,Locate the needed site resource for the requested result.,images/gold_v16_40k_001738/after_0001.png,images/gold_v16_40k_001738/after_0002.png,"(1280, 720)","(1280, 720)",False
1f71c6bec8265fc357566b27db22b93cffbf33244cdba53951c0a2594ba71117,gold_v16_40k_001905__step_0001,interaction_assessment,SELECT,True,False,False,Locate the requested interaction state for the requested result.,images/gold_v16_40k_001905/before_0002.png,images/gold_v16_40k_001905/after_0002.png,"(1280, 720)","(1280, 720)",False
ecee896901318f2e05e6667e2956ab3f46af58d0b2abcefe996ec3121fffa472,gold_v16_40k_001905__step_0001,recovery_assessment,SELECT,True,False,False,Locate the requested interaction state for the requested result.,images/gold_v16_40k_001905/after_0002.png,images/gold_v16_40k_001905/after_0003.png,"(1280, 720)","(1280, 720)",False
c2ec56a4168a82c683c3ff87d77ba4d410f5cb35a345184439cac6fd9f1f1b27,gold_v16_40k_002041__step_0000,interaction_assessment,CLICK,True,False,False,Look for the needed reference material for the requested result.,images/gold_v16_40k_002041/before_0001.png,images/gold_v16_40k_002041/after_0001.png,"(1280, 720)","(1280, 720)",False
c1a6018dd61359ea8b0b8908f298697f6aedd3fb345262fbbd08ddff829506df,gold_v16_40k_002050__step_0001,interaction_assessment,TYPE,True,False,False,Look for the requested page value for this page goal.,images/gold_v16_40k_002050/before_0002.png,images/gold_v16_40k_002050/after_0002.png,"(1280, 720)","(1280, 720)",True
15094e2d57a934b0d3bd8eb2af7671baecbe5d11c8f9a0a7667454dd2482545e,gold_v16_40k_002050__step_0001,recovery_assessment,TYPE,True,False,False,Look for the requested page value for this page goal.,images/gold_v16_40k_002050/after_0002.png,images/gold_v16_40k_002050/after_0003.png,"(1280, 720)","(1280, 720)",True
cbf508a0d0814e728dcb3e085bbc190d39ddbe9adf228af8042f97db45524059,gold_v16_40k_002055__step_0002,interaction_assessment,SELECT,True,False,False,Look for the requested page value for this page goal.,images/gold_v16_40k_002055/before_0003.png,images/gold_v16_40k_002055/after_0003.png,"(1280, 720)","(1280, 720)",True
76f74247148e252bbf675056a0589b30e43bb45396bbfd3d848fee08ccfe062a,gold_v16_40k_002183__step_0000,interaction_assessment,PRESS_KEY,True,False,False,Look for the required page preference for this page goal.,images/gold_v16_40k_002183/before_0001.png,images/gold_v16_40k_002183/after_0001.png,"(1280, 720)","(1280, 720)",True
b2668f69ef69001ca8d903a9cfd1e5aaf8c8a7cd1a347072dc34749d0d088805,gold_v16_40k_002183__step_0000,recovery_assessment,PRESS_KEY,True,False,False,Look for the required page preference for this page goal.,images/gold_v16_40k_002183/after_0001.png,images/gold_v16_40k_002183/after_0002.png,"(1280, 720)","(1280, 720)",False
7b2b2157f4d5b23ff6331131da9a67190ef61d176ab45c67c56fcbd2128003d9,gold_v16_40k_002215__step_0001,interaction_assessment,PRESS_KEY,True,False,False,Locate the target page state for this page goal.,images/gold_v16_40k_002215/before_0002.png,images/gold_v16_40k_002215/after_0002.png,"(1280, 720)","(1280, 720)",True
6362b2bebc69f7f6908cebe240f4478e5e41eb13c25e1f0e7893b26587a6d58e,gold_v16_40k_002215__step_0001,recovery_assessment,PRESS_KEY,True,False,False,Locate the target page state for this page goal.,images/gold_v16_40k_002215/after_0002.png,images/gold_v16_40k_002215/after_0003.png,"(1280, 720)","(1280, 720)",True
9c52bf9e9462945ac431e056d4634f041a135ff47baf77cfe37a41f0ceecb2f5,gold_v16_40k_002220__step_0001,interaction_assessment,NAVIGATE,True,False,False,Locate the target web resource for this page goal.,images/gold_v16_40k_002220/before_0002.png,images/gold_v16_40k_002220/after_0002.png,"(1280, 720)","(1280, 720)",False
5cdbe4b909c008a74fe602d4d3cd91914f3dbf86218db296101403e3b3463564,gold_v16_40k_002220__step_0001,recovery_assessment,NAVIGATE,True,False,False,Locate the target web resource for this page goal.,images/gold_v16_40k_002220/after_0002.png,images/gold_v16_40k_002220/after_0003.png,"(1280, 720)","(1280, 720)",False
709f17a4bcd58c7e0d9227b4c3062de8a51d07021a7ecb092bd350869ae23dc5,gold_v16_40k_002350__step_0001,interaction_assessment,TYPE,True,False,False,Look for the requested lookup value for this page goal.,images/gold_v16_40k_002350/before_0002.png,images/gold_v16_40k_002350/after_0002.png,"(1280, 720)","(1280, 720)",True
bfca6cea44b52b5c67adc5330ebc1633d084e1365bbd2ffa03cf4c5e7cf96a94,gold_v16_40k_002350__step_0001,recovery_assessment,TYPE,True,False,False,Look for the requested lookup value for this page goal.,images/gold_v16_40k_002350/after_0002.png,images/gold_v16_40k_002350/after_0003.png,"(1280, 720)","(1280, 720)",True
066506319825c8692fd672722f72b33b96a68826da20bfe674b7afbe7b7c9ab3,gold_v16_40k_002366__step_0000,interaction_assessment,NAVIGATE,True,False,False,Look for the relevant project details for the requested result.,images/gold_v16_40k_002366/before_0001.png,images/gold_v16_40k_002366/after_0001.png,"(1280, 720)","(1280, 720)",False
061c95cd0228c8c0df699283b90f3b802d38b4b7234a4a91d3a578e3c8efccf7,gold_v16_40k_002510__step_0001,interaction_assessment,SCROLL,True,False,False,Locate the relevant project details for this page goal.,images/gold_v16_40k_002510/before_0002.png,images/gold_v16_40k_002510/after_0002.png,"(1280, 720)","(1280, 720)",False
79635ca4501e3774506577d64e21d29c0b9d096d23ac37c9e5fb12e365bd65fd,gold_v16_40k_002510__step_0001,recovery_assessment,SCROLL,True,False,False,Locate the relevant project details for this page goal.,images/gold_v16_40k_002510/after_0002.png,images/gold_v16_40k_002510/after_0003.png,"(1280, 720)","(1280, 720)",False
d1124639b0a395e62d1efdc577a0efc6308db6c3a86f9a8fd53df7cc7db43840,gold_v16_40k_002613__step_0000,interaction_assessment,CLICK,True,False,False,Locate the target information area for this page goal.,images/gold_v16_40k_002613/before_0001.png,images/gold_v16_40k_002613/after_0001.png,"(1280, 720)","(1280, 720)",False
e2a07b45e98181744c516509160544b97eb8a40fee8006f2a72327ee08ae4c96,gold_v16_40k_002613__step_0000,recovery_assessment,NAVIGATE,True,False,False,Locate the target information area for this page goal.,images/gold_v16_40k_002613/after_0001.png,images/gold_v16_40k_002613/after_0002.png,"(1280, 720)","(1280, 720)",False
4c5da838c32011c24f39694406dd5b8c703667096ba06be20eb781d7f5d337ac,gold_v16_40k_002628__step_0000,interaction_assessment,SCROLL,True,False,False,Locate the target information area for this page goal.,images/gold_v16_40k_002628/before_0001.png,images/gold_v16_40k_002628/after_0001.png,"(1280, 720)","(1280, 720)",False
b44e4d79ebb9202472b91c04d786820a80967a7f05b2cf6b07a1edd6c2093790,gold_v16_40k_002628__step_0000,recovery_assessment,SCROLL,True,False,False,Locate the target information area for this page goal.,images/gold_v16_40k_002628/after_0001.png,images/gold_v16_40k_002628/after_0002.png,"(1280, 720)","(1280, 720)",False
44a23bad6bdb47838950a3fb895d92b205a965c5eaf214fcfafb2a875e404816,gold_v16_40k_002656__step_0000,interaction_assessment,SCROLL,True,False,False,Look for the needed site resource for the requested result.,images/gold_v16_40k_002656/before_0001.png,images/gold_v16_40k_002656/after_0001.png,"(1280, 720)","(1280, 720)",False
b3537f9686d6ce7a683c7029e49c70be6eea38649b3ee09c6811c3819890ba5a,gold_v16_40k_002763__step_0000,interaction_assessment,CLICK,True,False,False,Look for the needed site resource for this page goal.,images/gold_v16_40k_002763/before_0001.png,images/gold_v16_40k_002763/after_0001.png,"(1280, 720)","(1280, 720)",False
2520bbf7d3634966c87e9f93385a59f0d7360c10e46d5056275196e789c0c6b0,gold_v16_40k_002763__step_0000,recovery_assessment,NAVIGATE,True,False,False,Look for the needed site resource for this page goal.,images/gold_v16_40k_002763/after_0001.png,images/gold_v16_40k_002763/after_0002.png,"(1280, 720)","(1280, 720)",False
